epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.19202415645122528,0.20237229764461517,1e-04,0.30460068583488464,0.1466049998998642
1,0.1831742525100708,0.12043806910514832,1e-04,0.11166827380657196,0.15276861190795898
2,0.18269768357276917,0.08967286348342896,1e-04,0.117063507437706,0.13769599795341492
3,0.1879408210515976,0.06886208057403564,1e-04,0.23142053186893463,0.12189363688230515
4,0.19804437458515167,0.06121969223022461,1e-04,0.29361462593078613,0.1531582921743393
5,0.21245038509368896,0.06172879412770271,1e-04,0.16689541935920715,0.12400145828723907
6,0.2096000611782074,0.05267016962170601,1e-04,0.19408740103244781,0.12103337049484253
7,0.2061702311038971,0.04581286013126373,1e-04,0.16850176453590393,0.1554579734802246
8,0.21961553394794464,0.04824895039200783,1e-04,0.16963568329811096,0.14909054338932037
9,0.2109294831752777,0.043527062982320786,1e-04,0.26498663425445557,0.12982159852981567
10,0.19909228384494781,0.03650631010532379,1e-04,0.36548125743865967,0.2618505656719208
11,0.23489651083946228,0.042571745812892914,1e-04,0.2647366225719452,0.1352337896823883
12,0.24146419763565063,0.0356065109372139,1e-04,0.3468191921710968,0.33480212092399597
13,0.21676166355609894,0.030649790540337563,1e-04,0.19189047813415527,0.1305294632911682
14,0.19984987378120422,0.02403555065393448,5e-05,0.2233228087425232,0.11738170683383942
15,0.1952493041753769,0.022206444293260574,5e-05,0.20996448397636414,0.13096340000629425
16,0.19787076115608215,0.021404433995485306,5e-05,0.22713272273540497,0.1396041214466095
17,0.1855546534061432,0.019798092544078827,5e-05,0.23673079907894135,0.1360398530960083
18,0.19186364114284515,0.01896260306239128,5e-05,0.21932727098464966,0.12927882373332977
19,0.1929425150156021,0.017926011234521866,5e-05,0.22508324682712555,0.1430162489414215
20,0.1920344978570938,0.017677322030067444,5e-05,0.2201416939496994,0.1458691656589508
21,0.2021460235118866,0.019689474254846573,5e-05,0.2192358672618866,0.15374638140201569
22,0.20339089632034302,0.01573500968515873,2.5e-05,0.22850359976291656,0.1472884714603424
23,0.2078578770160675,0.014464492909610271,2.5e-05,0.22925220429897308,0.15023984014987946
24,0.20667272806167603,0.013866355642676353,2.5e-05,0.2210981398820877,0.1567530632019043
25,0.20758157968521118,0.01353083923459053,2.5e-05,0.21789748966693878,0.15938034653663635
26,0.208519846200943,0.013305647298693657,2.5e-05,0.19934625923633575,0.1586104929447174
27,0.20644798874855042,0.012971192598342896,2.5e-05,0.2291831374168396,0.1643606722354889
28,0.20665255188941956,0.012587377801537514,2.5e-05,0.20674777030944824,0.1622261106967926
29,0.20668213069438934,0.012013592757284641,1.25e-05,0.2148919403553009,0.16367541253566742
30,0.21035510301589966,0.011370779015123844,1.25e-05,0.22777023911476135,0.1706455498933792
31,0.20911657810211182,0.011098763905465603,1.25e-05,0.22596575319766998,0.17663106322288513
32,0.21412166953086853,0.010972155258059502,1.25e-05,0.2189839482307434,0.17399676144123077
33,0.21318365633487701,0.010733122006058693,1.25e-05,0.22443313896656036,0.1796378493309021
34,0.21532699465751648,0.010603110305964947,1.25e-05,0.2372954785823822,0.17313359677791595
